Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tommy-hilfiger-blue-ion-plated-ladies-watch,Tommy Hilfiger Blue Ion Plated Ladies Watch,"<p>Tick tock. You’ll never wonder what time it is again when you browse through all watches, including designer brands like Gucci, Daniel Wellington. From stainless steel and ceramic watch straps to leather and fabric ones, you’ll find the perfect fit for your wrist.</p>

<p>A watch is an accessory that makes you look smart and professional. This accessory is loved by both men and women. Women love wearing a watch that has an elegant and contemporary design. Today’s modern woman cannot leave for office without wearing a chic watch. Ladies’ watches are available in various designs. Watches for girls are the mode of various materials such as metal, leather, and plastic.</p>

<p>Our extensive collection of men’s and women’s watches covers every style and taste, from cutting-edge modern designs to ageless classics. Want a watch that’s both practical and fashionable? Look for straps in vibrant colors like pink, purple bright white. Watch faces with diamonds accents or larger font numbers exude fabulous, bold style, while watch straps in silver-tone or gold-tone stainless steel punctuate the suitable nuances of the watch.</p>",Emporio Armani,Diving,Activity,true,Title,Default Title,,,,,327038,32600.0,shopify,100,deny,manual,67.00,88.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_1_56cbdc87-c371-4429-95e3-d2230458612e.png?v=1576658085,1,,false,,,,,,,,,,,,,,,,,kg,,,active
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_2_9abc85c7-ee72-4223-ace4-af67898db6b2.png?v=1576658085,2,,,,,,,,,,,,,,,,,,,,,,
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_3_4eb5000d-4163-407a-b926-4f4de25fd50a.png?v=1576658085,3,,,,,,,,,,,,,,,,,,,,,,
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_4.png?v=1576658085,4,,,,,,,,,,,,,,,,,,,,,,
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_5.png?v=1576658085,5,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,Vivienne Westwood Montagu Black And Rose Gold Tone Ladies Watch,"<p>Our vast range of sports watches includes popular brands, such as Casio, G-Shock and Citizen, all packed with the special features any budding sportsman could need. If it’s versatility you’re after, our casual collection comes from fashion brands such as Diesel and Fossil and looks great in the office or out on the town.</p>

<p>For the sports enthusiast, Smart Watches are a great way to time yourself and always keep track of your steps and more. Key athletic features like water resistance, date and time, a stretchy watch strap and quartz movement make you primed to take on any sport!</p>

<p>Chronograph watches make it easy to tell time precisely, with stick indices that can tell you - down to the second - what time it is. All watches of this type are elegantly crafted, often with ceramic turning bezels that lend the watch an ornate, delicate appearance.</p>",Gucci,Chronograph,Military,true,Title,Default Title,,,,,654654654-56,0.0,shopify,0,deny,manual,52.00,,true,false,541265746854231,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_1_39e82ecb-ac48-4193-a7bd-44f100a36c95.png?v=1576658052,1,,false,,,,,,,,,,,,,,,,,kg,,,active
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_2_535a8fca-2b09-41e1-aa42-8b1653639aaa.png?v=1576658052,2,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_3_f551984c-e261-4c22-9fdb-2dbb390f4c2d.png?v=1576658052,3,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_4_c434bf26-2cc6-4d5e-8c95-08737d2d8619.png?v=1576658052,4,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_5.png?v=1576658052,5,,,,,,,,,,,,,,,,,,,,,,
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,Olivia Burton Glasshouse Rose Gold Plated Mesh Ladies Watch,"<p>Our vast range of sports watches includes popular brands, such as Casio, G-Shock and Citizen, all packed with the special features any budding sportsman could need. If it’s versatility you’re after, our casual collection comes from fashion brands such as Diesel and Fossil and looks great in the office or out on the town.</p>

<p>For the sports enthusiast, Smart Watches are a great way to time yourself and always keep track of your steps and more. Key athletic features like water resistance, date and time, a stretchy watch strap and quartz movement make you primed to take on any sport!</p>

<p>Chronograph watches make it easy to tell time precisely, with stick indices that can tell you - down to the second - what time it is. All watches of this type are elegantly crafted, often with ceramic turning bezels that lend the watch an ornate, delicate appearance.</p>",Gucci,Diving,Activity,true,Title,Default Title,,,,,327038,32600.0,shopify,100,deny,manual,20.00,22.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_1_fcca118d-64bd-4350-b1ba-6a4b91335651.png?v=1576658021,1,,false,,,,,,,,,,,,,,,,,kg,,,active
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_2_d6edde32-dfd4-40d3-b310-732c98b34823.png?v=1576658021,2,,,,,,,,,,,,,,,,,,,,,,
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_3_f01181d0-68c8-4d70-a3a1-a118a8df540f.png?v=1576658021,3,,,,,,,,,,,,,,,,,,,,,,
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_4_fed500e6-edb4-4027-b9f5-15844db3ffdd.png?v=1576658021,4,,,,,,,,,,,,,,,,,,,,,,
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_5.png?v=1576658021,5,,,,,,,,,,,,,,,,,,,,,,
michael-kors-pyper-rose-gold-tone-ladies-watch,Michael Kors Pyper Rose Gold Tone Ladies Watch,"<p>Solar watches are another option for those who want to energize their watch collection. Powered by a solar panel, these watches are environmentally friendly and ideal for the seasoned outdoorsman. They also require minimal maintenance because they don’t need a battery or have to be wound.</p>

<p>No matter what type of watch you’re looking for, you’ll never lose track of time when you choose from the vast array of all watches presented in our online store.</p>",Vivienne Westwood,Ladies,Crystal,true,Title,Default Title,,,,,,0.0,shopify,98,deny,manual,119.00,,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/michael_kors_pyper_rose_gold_tone_ladies_watch_1_9b5c1409-dfc5-4785-ac7d-740cd18a4b9f.png?v=1576658004,1,,false,,,,,,,,,,,,,,,,,kg,,,active
michael-kors-pyper-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/michael_kors_pyper_rose_gold_tone_ladies_watch_2_7ceb27d9-a20e-4a10-8cad-a6d085e4c903.png?v=1576658004,2,,,,,,,,,,,,,,,,,,,,,,
michael-kors-pyper-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/michael_kors_pyper_rose_gold_tone_ladies_watch_3.png?v=1576658004,3,,,,,,,,,,,,,,,,,,,,,,
michael-kors-pyper-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/michael_kors_pyper_rose_gold_tone_ladies_watch_4.png?v=1576658004,4,,,,,,,,,,,,,,,,,,,,,,
michael-kors-pyper-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/michael_kors_pyper_rose_gold_tone_ladies_watch_5.png?v=1576658004,5,,,,,,,,,,,,,,,,,,,,,,
emporio-armani-chronograph-mens-watch,Emporio Armani Chronograph Mens Watch,"<p>Our vast range of sports watches includes popular brands, such as Casio, G-Shock and Citizen, all packed with the special features any budding sportsman could need. If it’s versatility you’re after, our casual collection comes from fashion brands such as Diesel and Fossil and looks great in the office or out on the town.</p>

<p>For the sports enthusiast, Smart Watches are a great way to time yourself and always keep track of your steps and more. Key athletic features like water resistance, date and time, a stretchy watch strap and quartz movement make you primed to take on any sport!</p>

<p>Chronograph watches make it easy to tell time precisely, with stick indices that can tell you - down to the second - what time it is. All watches of this type are elegantly crafted, often with ceramic turning bezels that lend the watch an ornate, delicate appearance.</p>",Gucci,Ladies,Crystal,true,Title,Default Title,,,,,,0.0,shopify,98,deny,manual,49.00,,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/emporio_armani_chronograph_mens_watch_1_fc3cbda3-9cca-450b-9d8a-c69bbbfb7c4e.png?v=1576657986,1,,false,,,,,,,,,,,,,,,,,kg,,,active
emporio-armani-chronograph-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/emporio_armani_chronograph_mens_watch_2_5926ccad-94d6-44a5-a4c6-55fcb8031649.png?v=1576657986,2,,,,,,,,,,,,,,,,,,,,,,
emporio-armani-chronograph-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/emporio_armani_chronograph_mens_watch_3_bb154e11-91bf-4ffe-bfda-641d48246832.png?v=1576657986,3,,,,,,,,,,,,,,,,,,,,,,
emporio-armani-chronograph-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/emporio_armani_chronograph_mens_watch_4_9eec27bd-c897-454d-ac80-46ce06ea8f92.png?v=1576657986,4,,,,,,,,,,,,,,,,,,,,,,
emporio-armani-chronograph-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/emporio_armani_chronograph_mens_watch_5.png?v=1576657986,5,,,,,,,,,,,,,,,,,,,,,,
gucci-g-timeless-gold-plated-leather-watch,Gucci G Timeless Gold Plated Leather Watch,"<p>Solar watches are another option for those who want to energize their watch collection. Powered by a solar panel, these watches are environmentally friendly and ideal for the seasoned outdoorsman. They also require minimal maintenance because they don’t need a battery or have to be wound.</p>

<p>No matter what type of watch you’re looking for, you’ll never lose track of time when you choose from the vast array of all watches presented in our online store.</p>",Vivienne Westwood,Men's,Bracelet,true,Gender,Men’s,Movement,Mechanical,Style,Casual,,4990.015021607,shopify,100,continue,manual,17.00,19.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_1_2a582a29-d6b8-492f-acd1-061aaff95965.png?v=1576657830,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_1_2a582a29-d6b8-492f-acd1-061aaff95965.png?v=1576657830,lb,,,active
gucci-g-timeless-gold-plated-leather-watch,,,,,,,,Women’s,,Mechanical,,Casual,,5000.0,shopify,100,deny,manual,18.00,17.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_2_23cf093d-d416-4b2b-b9a9-0f61f5982079.png?v=1576657830,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_2_23cf093d-d416-4b2b-b9a9-0f61f5982079.png?v=1576657830,kg,,,
gucci-g-timeless-gold-plated-leather-watch,,,,,,,,Men’s,,Quartz,,Casual,,1134.0007696661876,shopify,1,deny,manual,19.00,15.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_3.png?v=1576657830,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_3.png?v=1576657830,oz,,,
gucci-g-timeless-gold-plated-leather-watch,,,,,,,,Women’s,,Quartz,,Sport,,100.0,shopify,13,continue,manual,10.00,18.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_4.png?v=1576657830,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_4.png?v=1576657830,g,,,
gucci-g-timeless-gold-plated-leather-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/gucci_g_timeless_gold_plated_leather_watch_5.png?v=1576657830,5,,,,,,,,,,,,,,,,,,,,,,
tissot-lepine-rose-gold-tone-mechanical-pocket-watch,Tissot Lepine Rose Gold Tone Mechanical Pocket Watch,"<p>Solar watches are another option for those who want to energize their watch collection. Powered by a solar panel, these watches are environmentally friendly and ideal for the seasoned outdoorsman. They also require minimal maintenance because they don’t need a battery or have to be wound.</p>

<p>No matter what type of watch you’re looking for, you’ll never lose track of time when you choose from the vast array of all watches presented in our online store.</p>",Vivienne Westwood,Vintage,Chronograph,true,Movement,Mechanical,,,,,327AE-6,2000.0,,99,deny,manual,100.00,,false,true,327038522,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tissot_lepine_rose_gold_tone_mechanical_pocket_watch_1_6f0fb0b1-0ac3-4a85-b5bd-f5110baaca96.png?v=1576656023,1,,false,,,,,,,,,,,,,,,,,kg,,,active
tissot-lepine-rose-gold-tone-mechanical-pocket-watch,,,,,,,,Quartz,,,,,556-62225,2000.0,,1,deny,manual,99.00,110.00,true,true,48245687465,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tissot_lepine_rose_gold_tone_mechanical_pocket_watch_2_838a1b4e-be28-47b6-8410-a4b2763d9e60.png?v=1576656023,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tissot_lepine_rose_gold_tone_mechanical_pocket_watch_2_838a1b4e-be28-47b6-8410-a4b2763d9e60.png?v=1576656023,kg,,,
tissot-lepine-rose-gold-tone-mechanical-pocket-watch,,,,,,,,Automatic,,,,,64554,7000.0,shopify,50,deny,manual,95.00,,true,true,2353565467,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tissot_lepine_rose_gold_tone_mechanical_pocket_watch_3.png?v=1576656023,3,,,,,,,,,,,,,,,,,,,kg,,,
tissot-lepine-rose-gold-tone-mechanical-pocket-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tissot_lepine_rose_gold_tone_mechanical_pocket_watch_4.png?v=1576656023,4,,,,,,,,,,,,,,,,,,,,,,
tissot-lepine-rose-gold-tone-mechanical-pocket-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tissot_lepine_rose_gold_tone_mechanical_pocket_watch_5.png?v=1576656023,5,,,,,,,,,,,,,,,,,,,,,,
tag-heuer-formula-1-gulf-chronograph-special-edition-mens-watch,Tag Heuer Formula 1 Gulf Chronograph Special Edition Mens Watch,"<p>Our vast range of sports watches includes popular brands, such as Casio, G-Shock and Citizen, all packed with the special features any budding sportsman could need. If it’s versatility you’re after, our casual collection comes from fashion brands such as Diesel and Fossil and looks great in the office or out on the town.</p>

<p>For the sports enthusiast, Smart Watches are a great way to time yourself and always keep track of your steps and more. Key athletic features like water resistance, date and time, a stretchy watch strap and quartz movement make you primed to take on any sport!</p>

<p>Chronograph watches make it easy to tell time precisely, with stick indices that can tell you - down to the second - what time it is. All watches of this type are elegantly crafted, often with ceramic turning bezels that lend the watch an ornate, delicate appearance.</p>",Tommy Hilfiger,Ladies,Crystal,true,Title,Default Title,,,,,,0.0,shopify,98,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_formula_1_gulf_chronograph_special_edition_mens_watch_1_3fba2688-5510-45a3-bd80-250a579ebd05.png?v=1576656007,1,,false,,,,,,,,,,,,,,,,,kg,,,active
tag-heuer-formula-1-gulf-chronograph-special-edition-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_formula_1_gulf_chronograph_special_edition_mens_watch_2.png?v=1576656007,2,,,,,,,,,,,,,,,,,,,,,,
tag-heuer-formula-1-gulf-chronograph-special-edition-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_formula_1_gulf_chronograph_special_edition_mens_watch_3.png?v=1576656007,3,,,,,,,,,,,,,,,,,,,,,,
tag-heuer-formula-1-gulf-chronograph-special-edition-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_formula_1_gulf_chronograph_special_edition_mens_watch_4.png?v=1576656007,4,,,,,,,,,,,,,,,,,,,,,,
tag-heuer-formula-1-gulf-chronograph-special-edition-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_formula_1_gulf_chronograph_special_edition_mens_watch_5.png?v=1576656007,5,,,,,,,,,,,,,,,,,,,,,,
tag-heuer-aquaracer-automatic-chronograph-mens-watch,Loewe Gold Blue Round Sunglasses,"<p>Tick tock. You’ll never wonder what time it is again when you browse through all watches, including designer brands like Gucci, Daniel Wellington. From stainless steel and ceramic watch straps to leather and fabric ones, you’ll find the perfect fit for your wrist.</p>

<p>A watch is an accessory that makes you look smart and professional. This accessory is loved by both men and women. Women love wearing a watch that has an elegant and contemporary design. Today’s modern woman cannot leave for office without wearing a chic watch. Ladies’ watches are available in various designs. Watches for girls are the mode of various materials such as metal, leather, and plastic.</p>

<p>Our extensive collection of men’s and women’s watches covers every style and taste, from cutting-edge modern designs to ageless classics. Want a watch that’s both practical and fashionable? Look for straps in vibrant colors like pink, purple bright white. Watch faces with diamonds accents or larger font numbers exude fabulous, bold style, while watch straps in silver-tone or gold-tone stainless steel punctuate the suitable nuances of the watch.</p>",Michael Kors,Men's,Bracelet,true,Gender,Men’s,Movement,Mechanical,Style,Casual,,4990.015021607,shopify,100,continue,manual,28.00,29.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_1.png?v=1576655988,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_1.png?v=1576655988,lb,,,active
tag-heuer-aquaracer-automatic-chronograph-mens-watch,,,,,,,,Women’s,,Mechanical,,Casual,,5000.0,shopify,100,deny,manual,25.00,27.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_2.png?v=1576655988,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_2.png?v=1576655988,kg,,,
tag-heuer-aquaracer-automatic-chronograph-mens-watch,,,,,,,,Men’s,,Quartz,,Casual,,1134.0007696661876,shopify,1,deny,manual,26.00,30.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_3.png?v=1576655988,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_3.png?v=1576655988,oz,,,
tag-heuer-aquaracer-automatic-chronograph-mens-watch,,,,,,,,Women’s,,Quartz,,Sport,,100.0,shopify,13,continue,manual,27.00,28.00,true,true,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_4.png?v=1576655988,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_4.png?v=1576655988,g,,,
tag-heuer-aquaracer-automatic-chronograph-mens-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tag_heuer_aquaracer_automatic_chronograph_mens_watch_5.png?v=1576655988,5,,,,,,,,,,,,,,,,,,,,,,
omega-olympic-official-timekeeper-automatic-mens-watch,Omega Olympic Official Timekeeper Automatic Mens Watch,"<p>Solar watches are another option for those who want to energize their watch collection. Powered by a solar panel, these watches are environmentally friendly and ideal for the seasoned outdoorsman. They also require minimal maintenance because they don’t need a battery or have to be wound.</p>

<p>No matter what type of watch you’re looking for, you’ll never lose track of time when you choose from the vast array of all watches presented in our online store.</p>",Hugo Boss,Chronograph,Military,true,Title,Default Title,,,,,654654654-56,0.0,shopify,0,deny,manual,32.00,,true,false,541265746854231,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/omega_olympic_official_timekeeper_automatic_mens_watch_1.png?v=1576655973,1,,false,,,,,,,,,,,,,,,,,kg,,,active
